# THR_CH1/p.e. THR_CH2/p.e. R/Hz deltaR/Hz
## THR = OFFSET + GAIN * (No. of photolelectrons)
## Gain_CH1 Gain_CH2 Offset_CH1 Offset_CH2
## 1.00 1.00 0.00 0.00
# THR/p.e. R/Hz deltaR/Hz
0.00 385466.00 620.86
1.00 92180.00 960.10
2.00 94340.00 971.29
3.00 95070.00 975.04
4.00 90710.00 952.42
5.00 88020.00 938.19
6.00 22000.00 469.04
7.00 11910.00 345.11
8.00 10070.00 317.33
9.00 9110.00 301.83
10.00 8650.00 294.11
11.00 9140.00 302.32
12.00 8550.00 292.40
13.00 8620.00 293.60
14.00 8090.00 284.43
15.00 8190.00 286.18
16.00 7650.00 276.59
17.00 6730.00 259.42
18.00 2680.00 163.71
19.00 1269.74 91.40
20.00 1172.16 65.53
21.00 1062.99 52.82
22.00 1035.94 46.80
23.00 904.49 41.16
24.00 980.23 40.19
25.00 943.73 38.95
26.00 904.84 37.57
27.00 876.69 36.31
28.00 742.73 32.86
29.00 648.68 29.22
30.00 285.38 18.27
31.00 149.12 10.44
32.00 139.52 7.63
33.00 132.86 6.37
34.00 128.95 5.73
35.00 122.45 5.30
36.00 121.48 5.07
37.00 115.51 4.84
38.00 119.20 4.88
39.00 0.00 0.00
