# THR_CH1/p.e. THR_CH2/p.e. R/Hz deltaR/Hz
## THR = OFFSET + GAIN * (No. of photolelectrons)
## Gain_CH1 Gain_CH2 Offset_CH1 Offset_CH2
## 10.80 10.80 -6.00 -7.80
# THR/p.e. R/Hz deltaR/Hz
0.72 24916358.00 4991.63
0.82 4999180.00 7070.49
0.92 4998510.00 7070.01
1.02 4984430.00 7060.05
1.12 5003080.00 7073.25
1.22 4988490.00 7062.92
1.32 5000560.00 7071.46
1.42 4990530.00 7064.37
1.52 41240.00 642.18
1.62 38360.00 619.35
1.72 12680.00 356.09
1.82 2750.00 165.83
1.92 940.00 79.16
2.02 863.49 52.36
2.12 165.62 18.63
2.22 147.65 10.49
2.32 125.52 7.26
2.42 114.44 5.77
2.52 97.09 4.73
2.62 82.80 4.07
2.72 47.60 3.09
2.82 19.80 1.99
2.92 13.20 1.62
3.02 8.60 1.31
3.12 6.20 1.11
3.22 2.80 0.75
3.32 2.80 0.75
3.42 3.80 0.87
3.52 3.20 0.80
3.62 1.20 0.49
3.72 1.20 0.49
3.82 1.20 0.49
3.92 0.20 0.20
4.02 1.20 0.49
4.12 0.00 0.00
4.22 0.40 0.28
4.32 0.20 0.20
4.42 0.00 0.00
4.52 0.20 0.20
4.62 0.20 0.20
4.72 0.00 0.00
