# THR_CH1/p.e. THR_CH2/p.e. R/Hz deltaR/Hz
## THR = OFFSET + GAIN * (No. of photolelectrons)
## Gain_CH1 Gain_CH2 Offset_CH1 Offset_CH2
## 1.00 1.00 0.00 0.00
# THR/p.e. R/Hz deltaR/Hz
0.00 299688.00 547.44
1.00 134610.00 1160.22
2.00 133560.00 1155.68
3.00 133890.00 1157.11
4.00 131680.00 1147.52
5.00 133570.00 1155.72
6.00 84540.00 919.46
7.00 26680.00 516.53
8.00 22340.00 472.65
9.00 20130.00 448.66
10.00 19100.00 437.04
11.00 18230.00 426.97
12.00 18560.00 430.81
13.00 17630.00 419.88
14.00 16990.00 412.19
15.00 16950.00 411.70
16.00 16750.00 409.27
17.00 16050.00 400.62
18.00 13420.00 366.33
19.00 7740.00 278.21
20.00 6360.00 252.19
21.00 6520.00 255.34
22.00 6440.00 253.77
23.00 6170.00 248.39
24.00 6190.00 248.80
25.00 6480.00 254.56
26.00 6020.00 245.36
27.00 5514.85 233.67
28.00 5632.08 230.51
29.00 5611.11 227.94
30.00 5137.61 217.10
31.00 4982.61 208.15
32.00 4550.00 194.72
33.00 4203.12 181.21
34.00 3766.42 165.81
35.00 3993.33 163.16
36.00 3575.16 152.86
37.00 4092.02 158.44
38.00 3713.38 153.79
39.00 3932.10 155.80
40.00 3793.75 153.98
41.00 3580.25 148.66
42.00 3541.67 145.19
43.00 3406.98 140.74
44.00 3180.79 134.05
45.00 2994.62 126.89
46.00 2908.63 121.51
47.00 2717.07 115.13
48.00 2668.20 110.89
49.00 2608.89 107.68
50.00 2702.59 107.93
51.00 2835.50 110.79
52.00 2457.78 104.52
53.00 2497.91 102.23
54.00 2213.11 95.24
55.00 2229.01 92.24
56.00 2125.46 88.56
57.00 2035.46 84.96
58.00 1693.88 75.90
59.00 1896.66 75.93
60.00 1927.05 76.53
61.00 1754.60 73.36
62.00 1664.71 69.97
63.00 1711.48 69.24
64.00 1578.95 66.13
65.00 1664.02 66.35
66.00 1609.04 65.42
67.00 1625.65 65.24
68.00 1425.59 61.01
69.00 1310.51 56.61
70.00 1303.85 54.37
71.00 1098.04 48.91
72.00 1121.33 46.84
73.00 1101.31 45.46
74.00 1111.11 44.99
75.00 1111.71 44.76
76.00 1060.93 43.60
77.00 979.06 41.34
78.00 1082.78 42.34
79.00 1077.97 42.74
80.00 909.25 39.46
81.00 819.91 35.99
82.00 752.16 32.92
83.00 698.29 30.33
84.00 699.03 29.13
85.00 705.13 28.67
86.00 628.44 26.85
87.00 661.65 26.66
88.00 638.21 26.10
89.00 633.23 25.72
90.00 611.74 25.10
91.00 579.32 24.12
92.00 531.85 22.66
93.00 477.79 20.81
94.00 423.81 18.79
95.00 389.47 17.11
96.00 381.51 16.16
97.00 368.69 15.44
98.00 395.55 15.64
99.00 0.00 0.00
